title,year,genre,director,writer,actors,wiki_url
Through the Back Door,1921,"Comedy, Drama","Alfred E. Green, Jack Pickford","Gerald C. Duffy, Marion Fairfax","Mary Pickford, Gertrude Astor, Wilfred Lucas, Helen Raymond, C. Norman Hammond, Elinor Fair, Adolphe Menjou, Peaches Jackson, Doreen Turner, John Harron, George Dromgold, Jeanne Carpenter, Walter Wilkinson","Through_the_Back_Door, "
Dr. Jack,1922,"Comedy, Romance","Fred C. Newmeyer, Sam Taylor","Hal Roach, Sam Taylor","Harold Lloyd, Mildred Davis, John T. Prince, Eric Mayne, C. Norman Hammond","Dr._Jack, "
Down to the Sea in Ships,1922,"Adventure, Drama, Romance",Elmer Clifton,John L.E. Pell,"Marguerite Courtot, Raymond McKee, William Walcott, Clara Bow, James Turfler, Leigh Smith, Pat Hartigan, Jack Baston, Curtis Pierce, Ada Laycock, William Cavanaugh","Down_to_the_Sea_in_Ships_(1949_film), "
Flesh and Blood,1922,Drama,Irving Cummings,"Louis D. Lighton, Louis D. Lighton","Lon Chaney, Edith Roberts, Noah Beery, DeWitt Jennings, Ralph Lewis, Jack Mulhall, Tôgô Yamamoto, Kate Price, Wilfred Lucas","Flesh_and_Blood_(1985_film), "
Lorna Doone,1922,"Drama, Romance",Maurice Tourneur,"R.D. Blackmore, Katherine S. Reed","Madge Bellamy, John Bowers, Frank Keenan, Jack McDonald, Donald MacDonald, Norris Johnson, Mae Giraci, Charles Hatton","Lorna_Doone_(1951_film), "
Manslaughter,1922,Drama,Cecil B. DeMille,"Jeanie Macpherson, Alice Duer Miller","Leatrice Joy, Thomas Meighan, Lois Wilson, John Miltern, George Fawcett, Julia Faye, Edythe Chapman, Jack Mower, Dorothy Cumming, Casson Ferguson, Michael D. Moore, James Neill, Sylvia Ashton, Raymond Hatton, Mabel Van Buren","Manslaughter_(1922_film), Manslaughter_(1930_film), "
Moran of the Lady Letty,1922,Adventure,George Melford,"Monte M. Katterjohn, Frank Norris","Dorothy Dalton, Charles Brinley, Emilius Jorgensen, Rudolph Valentino, Maude Wayne, Walter Long, George Kuwa, Cecil Holland","Moran_of_the_Lady_Letty, "
Oliver Twist,1922,Drama,Frank Lloyd,"Charles Dickens, Frank Lloyd","Jackie Coogan, James A. Marcus, Aggie Herring, Lewis Sargent, Joan Standing, Carl Stockdale, Edouard Trebaol, Lon Chaney, Taylor Graves, George Siegmann, Gladys Brockwell, Lionel Belmore, Florence Hale, Joseph Hazelton, Gertrude Claire","Oliver_Twist_(1922_film), Oliver_Twist_(1933_film), Oliver_Twist_(1997_film), Oliver_Twist_(1948_film), "
Othello,1922,"Drama, Romance",Dimitri Buchowetzki,"Dimitri Buchowetzki, Karl Mueller-Hagens","Emil Jannings, Werner Krauss, Ica von Lenkeffy, Theodor Loos, Ferdinand von Alten, Friedrich Kühne, Magnus Stifter, Lya De Putti, Ludwig Rex","Othello_(1995_film), "
The Prisoner of Zenda,1922,"Adventure, Romance",Rex Ingram,"Anthony Hope, Mary O'Hara","Lewis Stone, Alice Terry, Robert Edeson, Stuart Holmes, Ramon Novarro, Barbara La Marr, Malcolm McGregor, Edward Connelly, Lois Lee, John George, Snitz Edwards, Fairfax Burger, S.E. Jennings","The_Prisoner_of_Zenda_(1922_film), The_Prisoner_of_Zenda_(1937_film), The_Prisoner_of_Zenda_(1952_film), The_Prisoner_of_Zenda_(1979_film), "
Robin Hood,1922,"Adventure, Family, Romance",Allan Dwan,Douglas Fairbanks,"Wallace Beery, Sam De Grasse, Enid Bennett, Paul Dickey, William Lowery, Roy Coulson, Billie Bennett, Merrill McCormick, Wilson Benge, Willard Louis, Alan Hale, Bud Geary, Lloyd Talman, Douglas Fairbanks","Robin_Hood_(1922_film), Robin_Hood_(1973_film), Robin_Hood_(2010_film), Robin_Hood_(1991_British_film), Robin_Hood_(2009_film), "
Salomé,1922,"Biography, Drama, History","Charles Bryant, Alla Nazimova","Oscar Wilde, Alla Nazimova","Alla Nazimova, Nigel De Brulier, Mitchell Lewis, Rose Dione, Earl Schenck, Arthur Jasmine, Frederick Peters, Louis Dumar","Salom%C3%A9_(1918_film), "
Saturday Night,1922,"Comedy, Romance",Cecil B. DeMille,"Jeanie Macpherson, Jeanie Macpherson","Leatrice Joy, Conrad Nagel, Edith Roberts, Jack Mower, Julia Faye, Edythe Chapman, Theodore Roberts, Sylvia Ashton, John Davidson, James Neill, Winter Hall, Lillian Leighton","Saturday_Night_(1922_film), "
Shadows,1922,Drama,Tom Forman,"Wilbur Daniel Steele, Eve Unsell","Lon Chaney, Marguerite De La Motte, Harrison Ford, John St. Polis, Walter Long, Buddy Messinger, Priscilla Bonner, Frances Raymond","Shadows_(1922_film), Shadows_(1959_film), "
Sherlock Holmes,1922,"Drama, Mystery",Albert Parker,"Earle Browne, Arthur Conan Doyle","John Barrymore, Roland Young, Carol Dempster, Gustav von Seyffertitz, Louis Wolheim, Percy Knight, William Powell, Hedda Hopper, Peggy Bayfield, Margaret Kemp, Anders Randolf, Robert Schable, Reginald Denny, David Torrence, Robert Fischer","Sherlock_Holmes_(1916_film), Sherlock_Holmes_(2009_film), Sherlock_Holmes_(2010_film), "
Sky High,1922,"Action, Drama, Romance",Lynn Reynolds,"Lynn Reynolds, Lynn Reynolds","Tom Mix, J. Farrell MacDonald, Eva Novak, Sid Jordan, William Buckley, Adele Warner","Sky_High_(2005_film), "
Tess of the Storm Country,1922,"Drama, Romance",John S. Robertson,"Grace Miller White, E. Lloyd Sheldon","Mary Pickford, Lloyd Hughes, Gloria Hope, David Torrence, Forrest Robinson, Jean Hersholt, Danny Hoy, Robert Russell, Gus Saville, Madame De Bodamere","Tess_of_the_Storm_Country_(1922_film), "
The Toll of the Sea,1922,"Drama, Family, Fantasy",Chester M. Franklin,Frances Marion,"Anna May Wong, Kenneth Harlan, Beatrice Bentley, Priscilla Moran, Etta Lee, Ming Young","The_Toll_of_the_Sea, "
The Trap,1922,Drama,Robert Thornby,"Lon Chaney, Lucien Hubbard","Lon Chaney, Alan Hale, Dagmar Godowsky, Stanley Goethals, Irene Rich, Spottiswoode Aitken, Herbert Standing, Frank Campeau","The_Trap_(1946_film), The_Trap_(1959_film), The_Trap_(1966_film), "
When Knighthood Was in Flower,1922,"Romance, Drama",Robert G. Vignola,"William LeBaron, Charles Major","Marion Davies, Forrest Stanley, Lyn Harding, Theresa Maxwell Conover, Pedro de Cordoba, Ruth Shepley, Ernest Glendinning, Arthur Forrest, Johnny Dooley, William Kent, Charles K. Gerrard, Arthur Donaldson, Downing Clarke, William Norris, Macey Harlam","When_Knighthood_Was_in_Flower_(1922_film), "
The Young Rajah,1922,"Romance, Drama",Phil Rosen,"Alethea Luce, John Ames Mitchell","Rudolph Valentino, Wanda Hawley, Pat Moore, Charles Ogle, Fanny Midgley, Robert Ober, Jack Giddings, Edward Jobson, Josef Swickard, Bertram Grassby, J. Farrell MacDonald, George Periolat, George Field, Maude Wayne, William Boyd","The_Young_Rajah, "
The Extra Girl,1923,"Comedy, Romance",F. Richard Jones,"Bernard McConville, Mack Sennett","Mabel Normand, Ralph Graves, George Nichols, Anna Dodge, Vernon Dent, Ramsey Wallace, Charlotte Mineau, Mary Mason, Max Davidson, Louise Carver, William Desmond, Carl Stockdale, Harry Gribbon, Billy Bevan, George Beranger","The_Extra_Girl, "
Little Old New York,1923,"Comedy, Romance",Sidney Olcott,"Rida Johnson Young, Luther Reed","Marion Davies, Stephen Carr, J.M. Kerrigan, Harrison Ford, Courtenay Foote, Mahlon Hamilton, Norval Keedwell, George Barraud, Sam Hardy, Andrew Dillon, Riley Hatch, Charles Kennedy, Spencer Charters, Harry Watson, Louis Wolheim","Little_Old_New_York, "
Scaramouche,1923,"Drama, Romance",Rex Ingram,"Rafael Sabatini, Willis Goldbeck","Lloyd Ingraham, Alice Terry, Ramon Novarro, Lewis Stone, Julia Swayne Gordon, William Humphrey, Otto Matieson, George Siegmann, Bowditch M. Turner, James A. Marcus, Edith Allen, John George, Willard Lee Hall, Rose Dione","Scaramouche_(1923_film), Scaramouche_(1952_film), "
The Shock,1923,Drama,Lambert Hillyer,"Charles Kenyon, William Dudley Pelley","Lon Chaney, Virginia Valli, Jack Mower, William Welsh, Henry A. Barrows, Christine Mayo, Harry De Vere, John Beck, Walter Long","The_Shock_(1923_film), "
Souls for Sale,1923,"Comedy, Drama, Romance",Rupert Hughes,"Rupert Hughes, Rupert Hughes","Eleanor Boardman, Frank Mayo, Richard Dix, Mae Busch, Barbara La Marr, Lew Cody, Forrest Robinson, Edith Murgatroyd, Snitz Edwards, William Haines, Dale Fuller, Erich von Stroheim, Jean Hersholt, Charles Chaplin, Fred Niblo","Souls_for_Sale, "
White Tiger,1923,"Crime, Drama, Mystery",Tod Browning,"Tod Browning, Tod Browning","Priscilla Dean, Matt Moore, Raymond Griffith, Wallace Beery, Alfred Allen","White_Tiger_(2012_film), "
Zaza,1923,"Romance, Drama",Allan Dwan,"Pierre Berton, Albert S. Le Vino","Gloria Swanson, H.B. Warner, Ferdinand Gottschalk, Lucille La Verne, Mary Thurman, Yvonne Hughes, Riley Hatch, L. Rogers Lytton, Ivan Linow","Zaza_(1939_film), "
America,1924,"Drama, History, War",D.W. Griffith,"Robert W. Chambers, Robert W. Chambers","Neil Hamilton, Erville Alderson, Carol Dempster, Charles Emmett Mack, Lee Beggs, John Dunton, Arthur Donaldson, Charles Bennett, Downing Clarke, Frank Walsh, Frank McGlynn Jr., Arthur Dewey, P.R. Scammon, Lionel Barrymore, Sydney Deane","America_(1924_film), "
Beau Brummel,1924,"Drama, History, Romance",Harry Beaumont,"Clyde Fitch, Dorothy Farnum","John Barrymore, Mary Astor, Willard Louis, Carmel Myers, Irene Rich, Alec B. Francis, William Humphrey, Richard Tucker, George Beranger, Clarissa Selwynne, John J. Richardson, Claire de Lorez, Michael Dark, Templar Saxe, James A. Marcus","Beau_Brummel_(1924_film), "
Black Oxen,1923,"Drama, Romance, Sci-Fi",Frank Lloyd,"Gertrude Atherton, Frank Lloyd","Corinne Griffith, Conway Tearle, Tom Ricketts, Tom Guise, Clara Bow, Kate Lester, Harry Mestayer, Lincoln Stedman, Claire McDowell, Alan Hale, Clarissa Selwynne, Fred Gamble, Percy Williams, Otto Nelson, Eric Mayne","Black_Oxen, "
Captain January,1924,Drama,Edward F. Cline,"John Grey, Laura E. Richards","Hobart Bosworth, Baby Peggy, Irene Rich, Lincoln Stedman, Harry T. Morey, Barbara Tennant, John Merkyl, Emmett King","Captain_January_(1924_film), Captain_January_(1936_film), "
Dante's Inferno,1924,"Drama, Horror, Romance",Henry Otto,"Cyrus Wood, Edmund Goulding","Ralph Lewis, Winifred Landis, William Scott, Pauline Starke, Josef Swickard, Gloria Grey, Lorimer Johnston, Lawson Butt, Howard Gaye","Dante%27s_Inferno_(1924_film), Dante%27s_Inferno_(1935_film), "
The Enchanted Cottage,1924,Drama,John S. Robertson,"Gertrude Chase, Josephine Lovett","Richard Barthelmess, May McAvoy, Ida Waterman, Alfred Hickman, Florence Short, Marion Coakley, Holmes Herbert, Ethel Wright, Harry Allen","The_Enchanted_Cottage_(1924_film), The_Enchanted_Cottage_(1945_film), "
The Family Secret,1924,Drama,William A. Seiter,"Augustus Thomas, Frances Hodgson Burnett","Baby Peggy, Gladys Hulette, Frank Currier, Lucy Beaumont, Edward Earle, Martin Turner, Elizabeth Mackey, Martha Mattox, Cesare Gravina","The_Family_Secret_(1924_film), The_Family_Secret_(1951_film), "
Her Night of Romance,1924,"Comedy, Romance",Sidney Franklin,Hanns Kräly,"Constance Talmadge, Ronald Colman, Jean Hersholt, Albert Gran, Robert Rendel, Sidney Bracey, Joseph J. Dowling, Templar Saxe, Eric Mayne, Emily Fitzroy, Clara T. Bracy, James O. Barrows, Claire de Lorez","Her_Night_of_Romance, "
Isn't Life Wonderful,1924,"Drama, Romance",D.W. Griffith,"D.W. Griffith, Geoffrey Moss","Carol Dempster, Neil Hamilton, Erville Alderson, Helen Lowell, Marcia Harris, Frank Puglia, Lupino Lane, Hans Adalbert Schlettow, Paul Rehkopf, Robert Scholtz, Walter Plimmer","Isn%27t_Life_Wonderful, "
Janice Meredith,1924,"Drama, History, Romance",E. Mason Hopper,"Paul Leicester Ford, Lillie Hayward","Marion Davies, Holbrook Blinn, Harrison Ford, Macklyn Arbuckle, Hattie Delaro, Olin Howland, Spencer Charters, May Vokes, Mildred Arden, Joseph Kilgour, Douglas Stevenson, George Nash, W.C. Fields, George Siegmann, Helen Lee Worthing","Janice_Meredith_(film), "
Manhandled,1924,"Drama, Comedy",Allan Dwan,"Frank Tuttle, Sidney R. Kent","Gloria Swanson, Tom Moore, Lilyan Tashman, Ian Keith, Arthur Housman, Paul McAllister, Frank Morgan, Pierre Collosse, Marie Shelton, Carrie Scott, Ann Pennington, Brooke Johns, Frank Allworth","Manhandled_(1924_film), Manhandled_(1949_film), "
Michael,1924,"Drama, Romance",Carl Theodor Dreyer,"Herman Bang, Thea von Harbou","Walter Slezak, Benjamin Christensen, Nora Gregor, Alexander Murski, Grete Mosheim, Didier Aslan, Robert Garrison, Max Auzinger, Karl Freund, Wilhelmine Sandrock, Eugène de Klotz","Michael_(1996_film), "
Monsieur Beaucaire,1924,"Drama, Romance",Sidney Olcott,"Booth Tarkington, Booth Tarkington","Rudolph Valentino, Bebe Daniels, Lois Wilson, Doris Kenyon, Lowell Sherman, Paulette Duval, John Davidson, Oswald Yorke, Flora Finch, Louis Waller, Ian Maclaren, Frank Shannon, Templar Powell, H. Cooper Cliffe, Downing Clarke","Monsieur_Beaucaire_(1924_film), Monsieur_Beaucaire_(1946_film), "
Peter Pan,1924,"Adventure, Fantasy, Family",Herbert Brenon,"J.M. Barrie, Willis Goldbeck","George Ali, Esther Ralston, Cyril Chadwick, Mary Brian, Jack Murphy, Philippe De Lacy, Virginia Brown Faire, Betty Bronson, Anna May Wong, Maurice Murphy, Mickey McBan, George Crane Jr., Winston Doty, Weston Doty, Terence McMillan","Peter_Pan_(1924_film), Peter_Pan_(1953_film), Peter_Pan_(2003_film), "
The Red Lily,1924,Drama,Fred Niblo,"Fred Niblo, Bess Meredyth","Ramon Novarro, Enid Bennett, Frank Currier, Mitchell Lewis, Rosita Marstini, Sidney Franklin, Wallace Beery, George Nichols, Emily Fitzroy, George Periolat, Rosemary Theby, Milla Davenport, Gibson Gowland, Dick Sutherland","The_Red_Lily, "
Romola,1924,"Drama, History",Henry King,"George Eliot, Will M. Ritchey","Lillian Gish, Dorothy Gish, William Powell, Ronald Colman, Charles Lane, Herbert Grimwood, Bonaventura Ibáñez, Frank Puglia, Amelia Summerville, Tina Ceccaci Renaldi, Eduilio Mucci, Angela Scatigna, Ugo Uccellini, Alfredo Martinelli, Attilo Deodati","Romola_(film), "
The Sea Hawk,1924,"Adventure, Drama, Romance",Frank Lloyd,"Rafael Sabatini, J.G. Hawks","Milton Sills, Enid Bennett, Lloyd Hughes, Wallace Beery, Marc McDermott, Wallace MacDonald, Bert Woodruff, Claire Du Brey, Lionel Belmore, Christina Montt, Albert Prisco, Frank Currier, William Collier Jr., Medea Radzina, Fred DeSilva","The_Sea_Hawk_(1924_film), The_Sea_Hawk_(1940_film), "
Secrets,1924,Drama,Frank Borzage,"Rudolph Besier, May Edginton","Norma Talmadge, Eugene O'Brien, Patterson Dial, Emily Fitzroy, Claire McDowell, George Nichols, Harvey Clark, Charles Ogle, Donald Keith, Alice Day, Winston Miller, Mae Giraci, Gertrude Astor, Winter Hall, Frank Elliott","Secrets_(1924_film), Secrets_(1933_film), "
Body and Soul,1925,Drama,Oscar Micheaux,"Oscar Micheaux, Oscar Micheaux","Paul Robeson, Marshall Rogers, Lawrence Chenault, Chester A. Alexander, Walter Cornick, Lillian Johnson, Madame Robinson","Body_and_Soul_(1931_film), Body_and_Soul_(1947_film), "
Braveheart,1925,Western,Alan Hale,"Elmer Harris, Mary O'Hara","Rod La Rocque, Lillian Rich, Robert Edeson, Arthur Housman, Frank Hagney, Jean Acker, Tyrone Power Sr., Sally Rand, Henry Victor, Nipo T. Strongheart","Braveheart, "
The Circle,1925,Drama,Frank Borzage,"Kenneth B. Clarke, W. Somerset Maugham","Eleanor Boardman, Malcolm McGregor, Alec B. Francis, Eugenie Besserer, George Fawcett, Creighton Hale, Otto Hoffman, Eulalie Jensen, Buddy Smith, Joan Crawford, Frank Braidwood, Derek Glynne","The_Circle_(1925_film), The_Circle_(2017_film), "
Cobra,1925,"Drama, Romance",Joseph Henabery,"Martin Brown, Anthony Coldeway","Rudolph Valentino, Nita Naldi, Casson Ferguson, Gertrude Olmstead, Hector V. Sarno, Claire de Lorez, Eileen Percy, Lillian Langdon, Henry A. Barrows, Rosa Rosanova","Cobra_(1925_film), Cobra_(1986_film), "
The Lady,1925,Drama,Frank Borzage,"Martin Brown, Frances Marion","Norma Talmadge, Wallace MacDonald, Brandon Hurst, Alfred J. Goulding, Doris Lloyd, Johnny Fox, Paulette Duval, Emily Fitzroy, Margaret Seddon, Miles McCarthy, Marc McDermott, George Hackathorne, Walter Long","The_Lady_(1925_film), The_Lady_(2011_film), "
Lazybones,1925,"Action, Comedy, Drama",Frank Borzage,"Owen Davis, Frances Marion","Madge Bellamy, Buck Jones, Zasu Pitts, Leslie Fenton, Jane Novak, Virginia Marshall, Edythe Chapman, Emily Fitzroy, William Bailey","Lazybones_(film), "
Little Annie Rooney,1925,"Drama, Comedy",William Beaudine,"Mary Pickford, Hope Loring","Mary Pickford, William Haines, Walter James, Gordon Griffith, Carlo Schipa, Spec O'Donnell, Hugh Fay, Vola Vale, Joe Butterworth, Oscar Rudolph","Little_Annie_Rooney_(1925_film), "
The Monster,1925,"Comedy, Horror, Mystery",Roland West,"Roland West, Crane Wilbur","Lon Chaney, Gertrude Olmstead, Hallam Cooley, Johnny Arthur, Charles Sellon, Walter James, Knute Erickson, Frank Austin, Edward McWade, Ethel Wales","The_Monster_(1994_film), "
The Mystic,1925,Drama,Tod Browning,"Tod Browning, Waldemar Young","Aileen Pringle, Conway Tearle, Mitchell Lewis, Robert Ober, Stanton Heck, David Torrence, Gladys Hulette, DeWitt Jennings","The_Mystic, "
The Plastic Age,1925,"Comedy, Romance, Sport",Wesley Ruggles,"Frederica Sagor Maas, Percy Marks","Donald Keith, Mary Alden, Henry B. Walthall, Gilbert Roland, Clara Bow, David Butler","The_Plastic_Age_(film), "
Pretty Ladies,1925,"Comedy, Drama",Monta Bell,"Adela Rogers St. Johns, Alice D.G. Miller","Zasu Pitts, Tom Moore, Ann Pennington, Lilyan Tashman, Bernard Randall, Helena D'Algy, Conrad Nagel, Norma Shearer, George K. Arthur, Joan Crawford, Paul Ellis, Roy D'Arcy, Gwen Lee, Dorothy Seastrom, Lew Harvey","Pretty_Ladies, "
The Rag Man,1925,"Drama, Comedy",Edward F. Cline,"Willard Mack, Robert E. Hopkins","Jackie Coogan, Lydia Yeamans Titus, Ethel Wales, Robert Edeson, William Conklin, Max Davidson, Dynamite the Horse","The_Rag_Man, "
Riders of the Purple Sage,1925,"Action, Drama, Western",Lynn Reynolds,"Zane Grey, Edfrid A. Bingham","Tom Mix, Mabel Ballin, Beatrice Burnham, Marian Nixon, Warner Oland, Harold Goodwin, Arthur Morrison, Wilfred Lucas, Charles Le Moyne, Seessel Anne Johnson, Tony the Horse","Riders_of_the_Purple_Sage, "
"Sally, Irene and Mary",1925,"Comedy, Drama",Edmund Goulding,"Eddie Dowling, Edmund Goulding","Constance Bennett, Joan Crawford, Sally O'Neil, William Haines, Henry Kolker, Douglas Gilmore, Ray Howard, Kate Price, Aggie Herring, Sam De Grasse, Lillian Elliott, Edna Mae Cooper","Sally,_Irene_and_Mary, "
The Salvation Hunters,1925,Drama,Josef von Sternberg,Josef von Sternberg,"George K. Arthur, Georgia Hale, Bruce Guerin, Otto Matieson, Nellie Bly Baker, Olaf Hytten, Stuart Holmes","The_Salvation_Hunters, "
She,1925,"Adventure, Fantasy, Sci-Fi","Leander De Cordova, G.B. Samuelson","H. Rider Haggard, H. Rider Haggard","Betty Blythe, Carlyle Blackwell, Mary Odette, Tom Reynolds, Heinrich George, Jerrold Robertshaw, Dorothy Barclay, Marjorie Statler, Alexander Butler","She_(1935_film), She_(1925_film), She_(1965_film), "
Stage Struck,1925,Comedy,Allan Dwan,"Frank R. Adams, Forrest Halsey","Gloria Swanson, Lawrence Gray, Gertrude Astor, Oliver Sandys, Ford Sterling, Carrie Scott, Emil Hoch, Margery Whittington","Stage_Struck_(1925_film), "
Stella Dallas,1925,Drama,Henry King,"Frances Marion, Olive Higgins Prouty","Ronald Colman, Belle Bennett, Alice Joyce, Jean Hersholt, Beatrix Pryor, Lois Moran, Douglas Fairbanks Jr., Vera Lewis, Maurice Murphy, Jack Murphy, Newton Hall, Charles Hatton, Robert W. Gillette, Winston Miller","Stella_Dallas_(1937_film), "
Tumbleweeds,1925,Western,"King Baggot, William S. Hart","Hal G. Evarts, C. Gardner Sullivan","William S. Hart, Barbara Bedford, Lucien Littlefield, J. Gordon Russell, Richard Neill, Jack Murphy, James Gordon, George F. Marion, Gertrude Claire, Lillian Leighton, Taylor N. Duncan","Tumbleweeds_(1925_film), Tumbleweeds_(1999_film), "
The Vanishing American,1925,Western,George B. Seitz,"Ethel Doherty, Zane Grey","Richard Dix, Lois Wilson, Noah Beery, Malcolm McGregor, Nocki, Shannon Day, Charles Crockett, Bert Woodruff, Bernard Siegel, Guy Oliver, Joe Ryan, Charles Stevens, Bruce Gordon, Richard Howard, John Webb Dillion","The_Vanishing_American_(1955_film), "
The Bat,1926,"Mystery, Thriller",Roland West,"Avery Hopwood, Julien Josephson","George Beranger, Charles Herzinger, Emily Fitzroy, Louise Fazenda, Arthur Housman, Robert McKim, Jack Pickford, Jewel Carmen, Sôjin Kamiyama, Tullio Carminati, Eddie Gribbon, Lee Shumway","The_Bat_(1926_film), The_Bat_(1959_film), "
Beau Geste,1926,"Action, Adventure, Drama",Herbert Brenon,"Herbert Brenon, John Russell","Ronald Colman, Neil Hamilton, Ralph Forbes, Alice Joyce, Mary Brian, Noah Beery, Norman Trevor, William Powell, George Regas, Bernard Siegel, Victor McLaglen, Donald Stuart, Paul McAllister, Redmond Finlay, Bhogwan Singh","Beau_Geste_(1926_film), Beau_Geste_(1939_film), "
