title,year,genre,director,writer,actors,wiki_url
Suds,1920,"Comedy, Drama, Romance",John Francis Dillon,"Waldemar Young, Richard Bryce","Mary Pickford, Albert Austin, Harold Goodwin, Rose Dione, Darwin Karr, Lavendor the Horse","Suds_(film), "
Why Change Your Wife?,1920,"Comedy, Drama",Cecil B. DeMille,"Olga Printzlau, William C. de Mille","Thomas Meighan, Gloria Swanson, Bebe Daniels, Theodore Kosloff, Sylvia Ashton, Clarence Geldart, Mayme Kelso, Lucien Littlefield, Edna Mae Cooper, Jane Wolfe","Why_Change_Your_Wife%3F, "
Within Our Gates,1920,"Drama, Romance",Oscar Micheaux,Oscar Micheaux,"Evelyn Preer, Flo Clements, James D. Ruffin, Jack Chenault, William Smith, Charles D. Lucas, Bernice Ladd, Mrs. Evelyn, William Starks, Mattie Edwards, Ralph Johnson, E.G. Tatum, Grant Edwards, Grant Gorman, Leigh Whipper","Within_Our_Gates, "
The Ace of Hearts,1921,"Crime, Drama, Mystery",Wallace Worsley,"Gouverneur Morris, Ruth Wightman","Lon Chaney, Leatrice Joy, John Bowers, Hardee Kirkland, Raymond Hatton, Edwin Wallock, Roy Laidlaw","The_Ace_of_Hearts_(1921_film), "
Adventures of Tarzan,1921,"Action, Adventure","Robert F. Hill, Scott Sidney","Edgar Rice Burroughs, Robert F. Hill","Elmo Lincoln, Louise Lorraine, Scott Pembroke, Frank Whitson, Zip Monberg, Lillian Worth, Charles Gay, Charles Inslee, Maceo Bruce Sheffield, Fifi R. Lachoy, Frank Merrill, Joe Martin, George B. French, Gordon Griffith, Thomas Jefferson","Adventures_of_Tarzan, "
The Blot,1921,"Drama, Romance",Lois Weber,"Lois Weber, Marion Orth","Philip Hubbard, Margaret McWade, Claire Windsor, Louis Calhern, Marie Walcamp","The_Blot, "
Camille,1921,"Drama, Romance",Ray C. Smallwood,"Alexandre Dumas fils, June Mathis","Rudolph Valentino, Rex Cherryman, Arthur Hoyt, Zeffie Tilbury, Patsy Ruth Miller, Elinor Oliver, William Orlamond, Consuelo Flowerton, Alla Nazimova","Camille_(1917_film), Camille_(1921_film), Camille_(1936_film), "
Enchantment,1921,Comedy,Robert G. Vignola,"Frank R. Adams, Luther Reed","Marion Davies, Forrest Stanley, Edith Shayne, Tom Lewis, Arthur Rankin, Corinne Barker, Maude Turner Gordon, Edith Lyle, Huntley Gordon, Emmet Foy, Julia Hurley, Gilbert Rooney","Enchantment_(1948_film), "
Forbidden Fruit,1921,Drama,Cecil B. DeMille,"Cecil B. DeMille, Jeanie Macpherson","Agnes Ayres, Clarence Burton, Theodore Roberts, Kathlyn Williams, Forrest Stanley, Theodore Kosloff, Shannon Day, Bertram Johns, Julia Faye","Forbidden_Fruit_(1921_film), "
Leap Year,1924,Comedy,"James Cruze, Roscoe 'Fatty' Arbuckle","Walter Woods, Sarah Y. Mason","Roscoe 'Fatty' Arbuckle, Lucien Littlefield, Mary Thurman, John McKinnon, Clarence Geldart, Harriet Hammond, Allen Durnell, Gertrude Short, Winifred Greenwood, Maude Wayne","Leap_Year_(2010_film), "
Little Lord Fauntleroy,1921,Drama,"Alfred E. Green, Jack Pickford","Frances Hodgson Burnett, Bernard McConville","Mary Pickford, Claude Gillingwater, Joseph J. Dowling, James A. Marcus, Kate Price, Fred Malatesta, Rose Dione, Arthur Thalasso, Colin Kenny, Emmett King, Madame De Bodamere, Jackie Condon, Gordon Griffith, Francis Marion","Little_Lord_Fauntleroy, Little_Lord_Fauntleroy_(1936_film), "
The Love Light,1921,Drama,Frances Marion,Frances Marion,"Mary Pickford, Evelyn Dumo, Raymond Bloomer, Fred Thomson, Albert Prisco, George Regas, Eddie Phillips, Jean De Briac","The_Love_Light, "
My Boy,1921,"Comedy, Drama","Albert Austin, Victor Heerman","Max Abramson, Shirley Vance Martin","Mathilde Brundage, Claude Gillingwater, Jackie Coogan","My_Boy_(1921_film), "
The Nut,1921,"Action, Comedy, Romance",Theodore Reed,"Kenneth Davenport, Douglas Fairbanks","Douglas Fairbanks, Marguerite De La Motte, William Lowery, Gerald Pring, Morris Hughes, Barbara La Marr, Sidney De Gray","The_Nut_(1921_film), "
Outside the Law,1920,"Crime, Romance, Thriller",Tod Browning,"Gardner Bradford, Tod Browning","Priscilla Dean, Wheeler Oakman, Lon Chaney, Ralph Lewis, E. Alyn Warren, Stanley Goethals, Melbourne MacDowell, Wilton Taylor","Outside_the_Law_(1930_film), Outside_the_Law_(1956_film), "
A Sailor-Made Man,1921,Comedy,Fred C. Newmeyer,"Hal Roach, Sam Taylor","Harold Lloyd, Mildred Davis, Noah Young, Dick Sutherland","A_Sailor-Made_Man, "
The Sky Pilot,1921,Drama,King Vidor,"Ralph Connor, Faith Green","John Bowers, Colleen Moore, David Butler, Harry Todd, James Corrigan, Donald MacDonald, Kathleen Kirkham","The_Sky_Pilot, "
The Three Musketeers,1921,"Action, Adventure, Romance",Fred Niblo,"Alexandre Dumas, Edward Knoblock","Adolphe Menjou, Mary MacLaren, Nigel De Brulier, Thomas Holding, Marguerite De La Motte, Willis Robards, Boyd Irwin, Barbara La Marr, Lon Poff, Walt Whitman, Sidney Franklin, Charles Belcher, Charles Stevens, Léon Bary, George Siegmann","The_Three_Musketeers_(1935_film), The_Three_Musketeers_(1948_film), The_Three_Musketeers_(1973_film), The_Three_Musketeers_(1992_film), The_Three_Musketeers_(1993_film), The_Three_Musketeers_(2011_film), The_Three_Musketeers_(2011_film), The_Three_Musketeers_(miniseries), "
